post_id,title,category,timestamp
0,"Chỉ đạo của Phó Chủ tịch UBND tỉnh Trần Văn Tân tại hội nghị trực tuyến với các địa phương về công tác phòng, chống dịch bệnh Covid-19",86988755,1598167968
1,"Sáng 23/8, không ghi nhận ca mắc mới Covid-19",64032474,1598146332
2,"Thông cáo báo chí số 92 về công tác phòng, chống dịch bệnh Covid-19 trên địa bàn tỉnh (Ngày 22/8/2020)",64032474,1598100540
3,Sáng nay (22/8) không có thêm ca mắc Covid-19,64032474,1598060335
4,"Thông cáo báo chí số 91 về công tác phòng, chống dịch bệnh Covid-19 trên địa bàn tỉnh (Ngày 21/8/2020)",64032474,1598019489
5,Đại Lộc kết thúc cách ly xã hội,64032474,1597999506
6,"Xử lý nghiêm các địa phương, đơn vị làm chậm trễ quá trình giải ngân vốn đầu tư công",64032474,1597996169
7,"Ban Chỉ đạo phòng, chống dịch Covid-19 cấp tỉnh họp trực tuyến với các địa phương",64032474,1597994236
8,"Tăng cường lãnh đạo thực hành tiết kiệm, chống lãng phí",86988755,1597982562
9,"Tiếp tục tăng cường tuyên truyền công tác phòng, chống Covid-19",86988755,1597974638
10,"Tăng cường lãnh đạo, chỉ đạo công tác chống khai thác IUU",86988755,1597974318
11,"Sáng nay 21/8, cả nước không ghi nhận ca mắc Covid-19",64032474,1597973688
12,Thông tin lịch trình 01 trường hợp dương tính Covid-19 tại Quảng Nam chiều ngày 20/8,64032474,1597972974
13,Thị xã Điện Bàn xử phạt hơn 197 triệu đồng vi phạm phòng chống dịch,64032474,1597972634
14,"Thông cáo báo chí số 90 về công tác phòng, chống dịch bệnh Covid-19 trên địa bàn tỉnh (Ngày 20/8/2020)",64032474,1597926090
15,Giới thiệu Quyết định 1696 ngày 26/6/2020 của Bộ Giáo dục và Đào tạo,86988755,1597911330
16,"Thông tin, tuyên truyền các nội dung văn bản chỉ đạo của tỉnh và Bộ TT&TT",12849472,1597911195
17,Giảm 15% tiền thuê đất của năm 2020 do ảnh hưởng dịch Covid-19,38009072,1597895994
18,Giảm 15% tiền thuê đất của năm 2020 do ảnh hưởng dịch Covid-19,64032474,1597895531
19,113 trường hợp F1 liên quan đến BN 991 đều âm tính với SARS-CoV-2,64032474,1597894848
20,"Triển khai hạ tầng viễn thông tại các khu đô thị, khu công nghiệp",86988755,1597894310
21,"UBND tỉnh làm việc với UBND thành phố Tam Kỳ về công tác phòng, chống dịch bệnh Covid-19",64032474,1597887535
22,"Từ 6h00 ngày 20/8, kết thúc cách ly xã hội tại huyện Thăng Bình",64032474,1597887472
23,Thông tin lịch trình 01 trường hợp dương tính Covid-19 tại Quảng Nam chiều ngày 19/8,64032474,1597886140
24,Chủ tịch Quảng Nam gửi thư động viên một bác sĩ hỗ trợ chống dịch,64032474,1597884877
25,"Thông cáo báo chí số 89 về công tác phòng, chống dịch bệnh Covid-19 trên địa bàn tỉnh (Ngày 19/8/2020)",64032474,1597840646
26,Thông cáo báo chí về việc tổ chức Kỳ thi tốt nghiệp THPT năm 2020 trước diễn biến phức tạp của dịch bệnh covid-19,64032474,1597831685
27,"Tăng cường tuyên truyền phòng ngừa, ứng phó, khắc phục hậu quả thiên tai",64032474,1597827904
28,Tổ chức các hoạt động tuyên truyền kỷ niệm 75 năm Cách mạng tháng Tám và Quốc khánh 2/9,64032474,1597827279
29,120 câu hỏi - đáp về chất độc da cam do mỹ sử dụng trong chiến tranh ở Việt Nam (phần 15),64239557,1597825431
30,120 câu hỏi - đáp về chất độc da cam do mỹ sử dụng trong chiến tranh ở Việt Nam (phần 14),64239557,1597825270
31,120 câu hỏi - đáp về chất độc da cam do mỹ sử dụng trong chiến tranh ở Việt Nam (phần 13),64239557,1597825113
32,120 câu hỏi - đáp về chất độc da cam do mỹ sử dụng trong chiến tranh ở Việt Nam (phần 12),64239557,1597824687
33,"Lãnh đạo tỉnh thăm, chúc mừng Công an tỉnh nhân 75 năm ngày truyền thống",64032474,1597822508
34,"Khai trương Trung tâm Thông tin, chỉ đạo, điều hành và Hệ thống Thông tin báo cáo quốc gia",64032474,1597821623
35,"Tiếp tục thực hiện các biện pháp cấp bách phòng, chống dịch bệnh COVID-19 trong tình hình mới",86988755,1597802580
36,"Lãi suất cho vay mua, xây dựng nhà ở xã hội là 4,8%/năm",64032474,1597802242
37,"Quy định mới về chống tin nhắn rác, thư điện tử rác",64032474,1597801208
38,"Quảng Nam được xuất cấp 01 tấn hóa chất khử khuẩn phòng, chống dịch COVID-19",64032474,1597799446
39,"Thông cáo báo chí số 86 về công tác phòng, chống dịch Covid-19 trên địa bàn tỉnh Quảng Nam (Ngày 18/8/2020 lần 2)",64032474,1597757161
40,120 câu hỏi - đáp về chất độc da cam do mỹ sử dụng trong chiến tranh ở Việt Nam (phần 11),64239557,1597740543
41,120 câu hỏi - đáp về chất độc da cam do mỹ sử dụng trong chiến tranh ở Việt Nam (phần 10),64239557,1597740314
42,120 câu hỏi - đáp về chất độc da cam do mỹ sử dụng trong chiến tranh ở Việt Nam (phần 9),64239557,1597740159
43,120 câu hỏi - đáp về chất độc da cam do mỹ sử dụng trong chiến tranh ở Việt Nam (phần 8),64239557,1597739678
44,"Sáng nay 18/8, Quảng Nam cho xuất viện 11 bệnh nhân Covid-19",64032474,1597738771
45,Phong tỏa tạm thời khu vực có nguy cơ cao lây nhiễm Covid-19 trên địa bàn thành phố Tam Kỳ,64032474,1597736079
46,Cục Tin học hóa làm việc với Sở TT&TT về việc triển khai ứng dụng Bluezone,12849472,1597735325
47,Thông tin lịch trình 03 trường hợp dương tính Covid-19 tại Quảng Nam sáng ngày 18/8,64032474,1597720774
48,Bộ tiêu chí lựa chọn nhà đầu tư dự án Nhà máy xử lý chất thải rắn sinh hoạt Bắc Quảng Nam,37263859,1597716905
49,Thông báo thay đổi địa điểm tiếp công dân tỉnh,86988755,1597716442
50,"Thông cáo báo chí số 86 về công tác phòng, chống dịch bệnh Covid-19 trên địa bàn tỉnh (ngày 18/8/2020, lần 1)",64032474,1597715133
51,"Quy định mức phí ủy thác quản lý hoạt động các Quỹ phát triển đất, Hỗ trợ ngư dân, Bảo lãnh tín dụng doanh nghiệp nhỏ và vừa",86988755,1597714995
52,"Tăng cường công tác giám sát, đánh giá đầu tư",86988755,1597713979
53,"Thêm 7 ca Covid-19, 3 ca tại Quảng Nam",64032474,1597713117
54,Thăng Bình dỡ bỏ phong tỏa khu dân cư Lưu Minh,64032474,1597712943
55,Mở rộng các khu cách ly tập trung trên địa bàn tỉnh,86988755,1597668008
56,"Thông cáo báo chí số 86 về công tác phòng, chống dịch bệnh Covid-19 trên địa bàn tỉnh",64032474,1597667002
57,Thông điệp về thảm họa Da cam ở Việt Nam,64239557,1597651512
58,"Ủy Ban MTTQVN tỉnh tiếp nhận hơn 21 tỷ đồng hỗ trợ phòng, chống dịch bệnh Covid-19",64032474,1597650342
59,"UBND tỉnh làm việc với Tiểu Ban truyền thông về công tác thông tin, tuyên truyền dịch bệnh Covid-19",64032474,1597649680
60,Bổ sung thông tin dịch tễ về ca bệnh Covid-19 mới tại Quảng Nam ngày 17/8,64032474,1597647891
61,Thông tin lịch trình 01 trường hợp dương tính Covid-19 tại Quảng Nam ngày 17/8,64032474,1597634896
62,"Tăng cường công tác quản lý khoáng sản, bảo vệ môi trường trên địa bàn tỉnh",86988755,1597633079
63,Bluezone giúp tiết kiệm nhiều nguồn lực phòng chống Covid-19,64032474,1597632577
64,"Thông cáo báo chí số 85 về công tác phòng, chống dịch bệnh Covid-19 trên địa bàn tỉnh (ngày 17/8/2020, lần 1)",64032474,1597628836
65,Tam Kỳ có ca dương tính Covid-19 thứ 3,64032474,1597627343
66,Phê duyệt phương án sắp xếp xe ô tô chuyên dùng trong lĩnh vực y tế,86988755,1597626928
67,Thành lập Trung tâm Giáo dục nghề nghiệp 3T Quảng Nam,86988755,1597625974
68,"Thông cáo báo chí số 84 về công tác phòng, chống dịch bệnh Covid-19 trên địa bàn tỉnh",64032474,1597577940
69,Phát huy hơn nữa vai trò nêu gương trong phòng chống dịch Covid-19,86988755,1597573354
70,"Địa chỉ tiếp nhận ủng hộ phòng, chống dịch bệnh Covid-19 của tỉnh Quảng Nam",64032474,1597535537
71,Thông tin lịch trình 4 trường hợp dương tính Covid-19 tại Quảng Nam ngày 15/8,64032474,1597533454
72,"Thông cáo báo chí số 83 về công tác phòng, chống dịch bệnh Covid-19 trên địa bàn tỉnh",64032474,1597497588
73,"Ban Chỉ đạo phòng, chống dịch bệnh Covid-19 cấp tỉnh họp trực tuyến với các địa phương",64032474,1597461691
74,Đường dây nóng tiếp nhận phản ánh và giải đáp về Covid-19,95066713,1597449617
75,Đường dây nóng tiếp nhận phản ánh và giải đáp về Covid-19,64032474,1597449460
76,Thông tin lịch trình 2 trường hợp dương tính Covid-19 tại Quảng Nam chiều ngày 14/8,64032474,1597448809
77,"Thông cáo báo chí số 81 về công tác phòng, chống dịch bệnh Covid-19 trên địa bàn tỉnh (ngày 14/08/2020, lần 2)",64032474,1597410984
78,"Đẩy mạnh thực hiện công tác bảo hiểm y tế học sinh, sinh viên năm học 2020 – 2021",3996077,1597397138
79,BHXH tỉnh và Bệnh viện Thái Bình Dương – Tiên Phước ký kết hợp đồng KCB BHYT,3996077,1597397024
80,BHXH tỉnh và Bệnh viện Thái Bình Dương – Tiên Phước ký kết hợp đồng KCB BHYT,12849472,1597396789
81,"Đẩy mạnh thực hiện công tác bảo hiểm y tế học sinh, sinh viên năm học 2020 – 2021",86988755,1597395141
82,"Tiếp tục đẩy mạnh tuyên truyền, hướng dẫn cài đặt ứng dụng Bluezone",86988755,1597394020
83,"UBND tỉnh làm việc với Tiểu ban Hậu cần phòng, chống dịch bệnh Covid-19",64032474,1597392995
84,Thứ trưởng Bộ Y tế làm việc với ngành y tế tỉnh về phòng chống dịch bệnh Covid-19,64032474,1597390079
85,"UBND tỉnh làm việc với Tiểu ban điều trị và Tiểu ban cách ly, phòng chống dịch Covid-19",64032474,1597389502
86,Thông tin lịch trình 3 trường hợp dương tính Covid-19 tại Quảng Nam sáng ngày 14/8,64032474,1597378558
87,"Giảm thuế thu nhập doanh nghiệp đối với doanh nghiệp, hợp tác xã, đơn vị sự nghiệp và tổ chức khác",36670594,1597376542
88,Thông tin lịch trình 2 trường hợp dương tính Covid-19 tại Quảng Nam chiều ngày 13/8,64032474,1597371320
89,Tiếp tục phong tỏa tạm thời khu vực có nguy cơ cao lây nhiễm Covid-19 trên địa bàn thành phố Hội An,64032474,1597369837
90,"Thông cáo báo chí số 81 về công tác phòng, chống dịch bệnh Covid-19 trên địa bàn tỉnh (ngày 14/08/2020, lần 1)",64032474,1597368903
91,"Tiếp tục cách ly xã hội theo Chỉ thị số 16 đối với Điện Bàn, Đại Lộc, Duy Xuyên và Thăng Bình",64032474,1597368509
92,"Chủ tịch UBND tỉnh Lê Trí Thanh: ""Bệnh viện ĐKTƯ Quảng Nam nỗ lực cao nhất để điều trị 53 ca mắc Covid-19""",24870418,1597365716
93,"Thêm 6 ca mắc Covid-19, 3 ca tại Quảng Nam cùng gia đình",64032474,1597365558
94,"Thông cáo báo chí số 79 về công tác phòng, chống dịch Covid-19 trên địa bàn tỉnh (ngày 13/8/2020, lần 2)",64032474,1597322263
95,"Lập Quy hoạch tỉnh Quảng Nam thời kỳ 2021-2030, tầm nhìn đến năm 2050",64032474,1597311208
96,"Lãnh đạo tỉnh thăm, động viên tinh thần làm việc của CDC Quảng Nam",64032474,1597306662
97,Hai bệnh nhân Covid-19 điều trị tại BVĐK Trung ương Quảng Nam xuất viện,64032474,1597305728
98,Thông tin lịch trình 2 trường hợp dương tính Covid-19 tại Quảng Nam sáng ngày 13/8,64032474,1597304234
99,Thông tin lịch trình 4 trường hợp dương tính Covid-19 tại Quảng Nam ngày 11/8,64032474,1597288338
100,Các ca mắc Covid - 19 tại Quảng Nam từ ngày 25/7 - 13/8/2020,64032474,1597286472
101,Tăng cường kiểm soát biên giới,97295739,1597283962
102,"Bí thư Tỉnh ủy Phan Việt Cường thăm hỏi, tặng quà y bác sĩ Bệnh viện Đa khoa Trung ương Quảng Nam",24870418,1597283763
103,"Thông cáo báo chí số 79 về công tác phòng, chống dịch Covid-19 trên địa bàn tỉnh ( ngày 13/8/2020, lần 1)",64032474,1597282790
104,Hướng dẫn thực hiện dịch vụ công về BHXH đối với cá nhân,15590566,1597282097
105,Hội An tiếp tục cách ly xã hội,86988755,1597281440
106,"Hỗ trợ tiền ăn cho nhân dân khu vực phong tỏa cách ly trong phòng, chống dịch Covid-19",64032474,1597280441
107,"Thành lập 5.484 Tổ Giám sát và Tuyên truyền phòng, chống Covid-19 tại cộng đồng",64032474,1597279015
108,Bệnh viện Vĩnh Đức triển khai xét nghiệm Covid-19 bằng phương pháp Realtime-PCR,64032474,1597278682
109,"Thông cáo báo chí số 78 về công tác phòng, chống dịch Covid-19 trên địa bàn tỉnh Quảng Nam",64032474,1597239356
110,Thủ tướng Chính phủ Nguyễn Xuân Phúc làm việc trực tuyến với các địa phương đang xảy ra dịch Covid-19,64032474,1597235897
111,"Tạm dừng các hoạt động để phòng, chống dịch bệnh Covid-19",64032474,1597234876
112,Đẩy nhanh tiến độ hoàn thiện Đề án xây dựng chính quyền số giai đoạn 2021-2025,64032474,1597221461
113,"Công tác tuyên truyền phòng, chống dịch bệnh Covid-19 trên địa bàn tỉnh từ ngày 01/8 đến ngày 07/8/2020",12849472,1597219809
114,Báo cáo tình hình thực hiện nhiệm vụ phát triển kinh tế tư nhân trên địa bàn tỉnh,12849472,1597219351
115,Đề nghị điều chỉnh kế hoạch vốn CTMT ngân sách trung ương năm 2019 kéo dài sang năm 2020,12849472,1597218973
116,Ban hành Kế hoạch thi tuyển viên chức giáo viên năm 2020,64032474,1597218489
117,"Tiếp tục triển khai thực hiện phòng chống dịch bệnh Covid-19 tại các khu, cụm công nghiệp",86988755,1597217671
118,"Ủy ban MTTQ tỉnh tiếp nhận 1,4 tỷ đồng ủng hộ phòng, chống dịch Covid-19",64032474,1597217417
